question, answer
2.01. Adja meg a karbamid és a guanidin szerkezeti képletét!, 
2.02. Írja fel szerkezeti képlettel a karbamoil-foszfát-szintetáz I reakciót!, 
2.03. Adja meg a kreatin és a kreatin-foszfát (foszfokreatin) szerkezeti képletét!, 
2.04. Írja fel szerkezeti képletekkel a kreatin-kináz által katalizált reakciót!, 
2.05. Adja meg a kreatinin szerkezeti képletét és legfontosabb orvosi jelentőségét!, 
2.06. Írja fel egy laktám képződésének reakcióegyenletét szerkezeti képletekkel!, 
2.07. Rajzolja fel a pirrol és az imidazol szerkezeti képletét!, 
2.08. Rajzolja fel a piridin és a pirimidin szerkezeti képletét és jellemezze sav-bázis tulajdonságaikat!, 
2.09. Adja meg a purin szerkezeti képletét a gyűrűben lévő atomok számozásával!, 
2.10. Rajzolja le a nikotinamid és az indol szerkezeti képletét!, 
2.11. Rajzolja le a húgysav szerkezeti képletét és adja meg legfontosabb élettani jelentőségét!, Emberben a húgysav a purinmetabolizmus végterméke. 
2.12. Adja meg az alkaloidok definícióját!, Az alkaloidok természetben előforduló; többnyire bázikus nitrogénatomot tartalmazó; erős élettani hatással bíró vegyületek. 
2.13. Rajzolja fel három nagyenergiájú kötést tartalmazó vegyület szerkezeti képletét. Jelölje meg bennük és nevezze meg a nagyenergiájú kötés típusát!, 
2.14. Adja meg az alábbi vegyületek (NAD+ FAD CoA-SH ATP) teljes nevét és biológia szerepét!, NAD+: nikotinamid-adenin-dinukleotid oxidálószer koenzim; FAD: flavin-adenin-dinukleotid oxidálószer prosztetikus csoport; CoA-SH: koenzim-A acil-csoport szállítása; ATP: adenozin-trifoszfát: foszforilezőszer (foszforil-csoport donor) energiatárolás 
2.15. Rajzolja fel a citozin és a timin szerkezeti képletét!,     
2.16. Írja fel képletekkel az uracil tautomériáját!, 
2.17. Adja meg az adenin és a guanin szerkezeti képletét!, 
2.18. Sorolja fel a DNS és RNS szerkezete közötti különbségeket (min. 3)?, DNS: 2-dezoxi-ribóz csak négyféle bázis (A G C T) purinbázisok száma = a pirimidinbázisok sz. sokkal több nukleotidból áll. általában kettős szálú; RNS: ribóz uracil a timin helyett és ún. ritka bázisok a purin- és pirimidin-bázisok aránya tetszőleges rövidebb polimer ált. egy szálból áll 
2.19. Írja fel az α-aminosavak általános képletét nemionos és ikerionos formában!, 
2.20. Adja meg a glicin és az L-alanin szerkezeti képletét!, 
2.21. Adja meg az L-valin és az L-leucin szerkezeti képletét!, 
2.22. Adja meg az L-tirozin és az L-fenil-alanin szerkezeti képletét!, 
2.23. Adja meg az L-metionin és az L-cisztein szerkezeti képletét!, 
2.24. Adja meg az L-szerin és az L-treonin szerkezeti képletét!, 
